uid,summary
id_2000-AGENDA_1, 제 8 회 청주시 의회 ( 2018 년 도제 2 차 정례회 ) 제 5 차 정례회 )는 9 월 17 일까지 25 일 간으로 가결됨.
id_2000-AGENDA_2, 제 164 회 제 2 차 정례회 제 8 차 본회의개의선포.
id_2000-AGENDA_3, 제 164 회 제 2 차 정례회 휴회의건은 예산 결산 특별 위원회 활동 의사일정으로 갈음함.
id_2000-AGENDA_4," 제 8 대 완주군 의회 전반기 의장 선거는 총 10 표 중에서 송지용 의원 9 표로 정성모 의원 당선 . 전반기 부의장 선거는 총 10 표 중에서 김용찬 의원 10 표 , 무효 1 표로 김용찬 의원 당선 . 부의장 선거는 총 10 표 중에서 이재만 의원 6 표로 가결됨."
id_2000-AGENDA_5, 제 8 회 청주시 의회 ( 2018 년 도제 2 차 정례회 ) 제 1 차 본회의개의선포.
id_2000-AGENDA_6," 제 2 회 세입 세출 추가 경정 예산안은 심의를 위해 예산 결산 특별 위원회를 구성하고자함. 예산 결산 특별 위원회는 의장을 제외한 전 의원으로 구성하는 것으로 갈음함. 예산 결산 특별 위원회는 한동완 의원 , 우성 수 의원 , 우성 수 의원 , 이상정 의원 , 이상정 의원 , 이대웅 의원 "
id_2001-AGENDA_1, 제 8 회 반기문 전국 마라톤 대회 공익 사항에 관한 감사원 감사 청구의건을 상정하여 가결됨.
id_2001-AGENDA_2, 제 2 대 청주시 의회 전반기 의장 선거는 총 투표수 39 표 중에서 하재성 의원 39 표로 하재성 의원 부의장 부의장 당선.
id_2001-AGENDA_3," 제 8 회 완주군 의회 전반기 의장 선거는 총 10 표 중에서 정성모 의원 5 표로 정성모 의원 당선 . 부의장 선거는 총 10 표 중에서 김용찬 의원 당선 . 부의장 선거는 총 10 표 중에서 박웅배 의원 6 표 , 무효 4 표 , 무효 4 표로 이한철 의원 당선."
id_2001-AGENDA_4, 제 2 차 정례회 기간 중 9 일 간의일정으로 행정 사무 감사를 실시하기 위하여 의사일정 변경을 제안함. 해당 안건은 가결됨.
id_2001-AGENDA_5, 제 164 회 제 2 차 정례회 제 1 차 본회의개의선포.
id_2001-AGENDA_6," 제 8 대 완주군 의회 전반기 의장 선거는 총 8 표 중에서 윤병승 의원 8 표 , 손 달 섭 의원 4 표로 이대웅 의원 1 표로 완주군 의회 운영 위원장 선거는 총 10 표 중에서 최찬영 의원 당선 . 부의장 선거는 총 10 표 중에서 임 옥순 의원 1 표로 김영섭 의원 당선."
id_2001-AGENDA_7, 제 39 회 청주시 의회 ( 2018 년 도제 2 차 정례회 ) 제 1 차 본회의개의선포.
id_2001-AGENDA_8," 제 8 대 완주군 의회 전반기 의장 선거는 총 10 표 중에서 정성모 의원 8 표 , 정성모 의원 1 표로 당선."
id_2001-AGENDA_9, 제 8 대 완주군 의회 전반기 의장 선거는 총 10 표 중에서 정성모 의원 5 표로 정성모 의원 당선.
id_2001-AGENDA_10," 제 8 대 완주군 의회 의회 운영 위원회 전반기 부의장 선거를 위하여 운영 위원장 선거를 선임함. 의장 선거는 총 8 표 중에서 서제일 의원 8 표 , 무효 1 표로 서제일 의원 당선 . 부의장 선거는 총 8 표 , 무효 4 표 , 무효 4 표로 서제일 의원 당선."
id_2001-AGENDA_11, 제 2 대 청주시 의회 전반기 의장 선거는 총 투표수 39 표 중에서 하재성 의원 39 표로 김현기 의원 당선 . 부의장 선거는 총 8 표 중에서 총 11 표 중에서 이인숙 의원 6 표로 최찬영 의원 당선 . 부의장 선거는 총 39 표 중에서 임 귀현 의원 6 표로 윤 수봉 의원 당선.
id_2002-AGENDA_1, 제 164 회 제 2 차 정례회 제 8 차 본회의개의선포.
id_2002-AGENDA_2, 제 2 대 청주시 의회 전반기 의장 선거는 총 투표수 39 표 중에서 김현기 의원 39 표로 김현기 의원 당선.
